set,name,geo,plateau,gt
real,20150377,3,4,
real,20190325,1,7,
real,20190639,3,3,
real,20203373,8,9,
real,20203947,2,14,
real,20206498,0,9,
synthetic,ItMD_clean,7,4,3.0
synthetic,IcItMD_residual_noisy,5,3,3.0
synthetic,ItMD_noisy,5,2,
synthetic,IcDItMD_noisy,4,2,
synthetic,IcDItMD_residual_noisy,3,1,
synthetic,DItMD_noisy,3,1,
synthetic,DItMD_residual_noisy,3,1,
synthetic,IcItMD_ItMD_noisy,4,2,3.0
synthetic,ItMD_ItMD_noisy,3,1,
synthetic,IcIt_observational,4,10,6.0
synthetic,quase_ItD,7,1,
synthetic,IcItMD_residual_clean,5,3,3.0
